,Return [%],CAGR [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],# Trades,Win Rate [%],Turnover [x/yr],Costs [% final eq.],Gross exposure mean [%],Gross exposure max [%],Corr. to BTC,Monthly skew
"momentum, best: look-backs 5/10/21/42, band 1",151.76688309803595,11.622952099559946,12.653125946879593,0.918267080103977,1.6473505041009142,-12.506322973723282,2009.0,32.254853160776506,8.32831131858128,8.462942409253188,16.773563280909976,49.58096019933318,-0.07827974673189875,1.579662614147668
"momentum, video default: 5/10/21/42, band 0.25",116.59471893564253,9.640527379639963,13.761877079203833,0.7002850064101935,1.2250070680475567,-20.728769030947337,10992.0,39.9108442503639,24.63112812766771,28.15288798634408,17.15035687780873,53.213054611566754,-0.1709510332316787,1.223449009530259
"vol-scaled long only (same sizing, score pinned +4, band 0.25)",219.85067840322296,14.850366026843131,25.90019644308837,0.5731686073363028,0.9473695854242014,-48.584728700106375,1573.0,62.42848061029879,1.3046874071745702,1.0771651550408874,28.829828634587308,70.4384488308468,0.7983441569295744,0.660406769941236
BTC buy & hold,469.04446871345203,23.006394397154082,88.56682768842533,0.25966931284329725,0.514250349497214,-81.37774480043687,,,,,,,,
