,seed,config,Sharpe Ratio,Return (Ann.) [%],# Trades
0,11,best,1.3940472517698828,36.38344975368288,43.0
1,11,default,1.268940289757576,30.06321950925901,42.0
2,12,best,0.8541674290138531,18.249249140498193,36.0
3,12,default,0.9618549725607413,19.190787593742932,35.0
4,13,best,1.0040805840782197,19.18168933782742,32.0
5,13,default,0.9546543453735564,17.570178665786717,32.0
6,14,best,0.47901888246608054,8.98141496099758,33.0
7,14,default,0.3388008144253215,5.844277490412941,33.0
8,15,best,0.8159426855753332,16.839439430823088,38.0
9,15,default,0.8361793764461715,16.786497499680486,38.0
10,16,best,0.5956812765628622,12.18657508120311,37.0
11,16,default,0.8176006123700506,16.88589139033676,36.0
