,total_return_pct,cagr_pct,ann_vol_pct,sharpe,sortino,max_dd_pct,nw_tstat,exposure_pct,n_trades,win_rate_pct,avg_trade_bp,med_holding_bars,converged_pct,stopped_pct,skew,years,gate_pass_pct
AUD/NZD,-1.8240253593696854,-0.06945290808285653,0.4097847162923234,-0.1674698858814907,-0.21833887631673973,2.1018803697583133,-0.9005684932947575,1.916741539383049,7.0,28.57142857142857,-26.106857078090133,12.0,28.57142857142857,14.285714285714285,-3.039186647096394,26.496031746031747,4.716981132075472
EUR/GBP,1.8698979345094902,0.06994549702461494,0.5390627959421389,0.13238346882068605,0.19690597007116786,2.2418996560422344,0.7149660253560808,4.1179994010182694,11.0,63.63636363636363,17.109437364594942,30.0,54.54545454545454,0.0,1.217104983923951,26.496031746031747,8.49056603773585
SEK/NOK,-3.4438310313871345,-0.13217873207476138,0.9634557856358649,-0.13244823005013567,-0.18314901663006375,7.184312863948195,-0.7231736028367475,2.11141060197664,5.0,20.0,-69.22062839600703,19.0,60.0,0.0,1.4629629267064201,26.496031746031747,3.7735849056603774
