y,x,corr,eg_pvalue,eg_tstat,beta,half_life,hurst,n_obs
LNC,MS,0.7642402352136538,2.8516065369014322e-05,-5.398821043612268,0.9939460399360912,18.13112041261419,0.3394698382861683,1259
HBAN,SCHW,0.7157811639058861,8.721435147034675e-05,-5.147932056350194,0.7037090180928844,16.52742402989678,0.32587966466728185,1259
DVN,APC,0.7582170342584108,0.0008105015691596589,-4.607635132662384,1.0067388287661132,36.48798861777293,0.4513062960150363,1259
WEC,AWK,0.6943816013561211,0.001002868384623516,-4.552456829466567,0.612955087046095,20.765093170889113,0.4166263663915436,1259
STT,C,0.7364514033732005,0.00103761713768971,-4.5435621704918905,0.9366941020191826,23.598338920259835,0.33360008437743116,1259
USB,SCHW,0.7102683001697898,0.0014909501325821395,-4.447661892167909,0.4946660539743397,21.713061742858002,0.33681212215940604,1259
UNM,CMA,0.7368373041463655,0.0017331218682058776,-4.407141146064408,0.7619489841671423,22.517969367965964,0.31357408840883194,1259
UNM,RJF,0.718327816088373,0.001973870629336729,-4.371772153551007,0.8453955266182656,30.039107973596007,0.40165339066563416,1259
UNM,MTB,0.6942454146222502,0.0023865799938885698,-4.319534910995578,1.2276801562466062,25.068029014399706,0.3908988295079244,1259
DG,DLTR,0.6207828672488027,0.0024091092335479926,-4.316930524407467,0.7443732047657271,20.085465897145717,0.40296748312171965,1259
PFG,MS,0.7349870244440662,0.002436888881418481,-4.313749992992972,0.8006246871699066,26.08088294042571,0.4048041187657376,1259
XEC,NFX,0.6895273870967195,0.002540218692452863,-4.302206372732531,0.7707649809071139,34.76911872936265,0.37469782820378805,1259
FBHS,MAS,0.7026442427263374,0.0028236561097598097,-4.272633924299001,0.7956053453946043,20.33512903502065,0.33713192523556906,1259
VZ,T,0.7122776261037688,0.0029187345133490504,-4.263325151510447,0.4285943682794716,35.54841100277782,0.4045053269474608,1259
PNW,ED,0.8017017994850162,0.003211498378723546,-4.236319182730877,1.1447198712330173,24.65944953333531,0.3480983667895885,1259
PCAR,CMI,0.7130026435160176,0.0034326950864045024,-4.217377093129615,0.6502235849617763,25.226730292143866,0.3975166896893549,1259
SCHW,NTRS,0.7435409732668311,0.0034400191973467374,-4.216769271118622,1.4520320068640966,29.49528596910245,0.34956200646053726,1259
TMO,PKI,0.6504314885800698,0.0035552929780500097,-4.207356021738992,1.0919423812369173,27.044243555659246,0.4207972199572677,1259
