,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),0.2775493380248858,0.2786895172300019,1.364597704682713,1.0,100.0,111.71933580163945,0.6807886066479862,12.5,2.8798411122144985
OLS + frozen z (GGR),0.25241739681782527,0.4421969586139829,3.6513626316396652,2.0,50.0,90.20454358145584,0.49847043100821903,12.5,6.951340615690168
Kalman hedge,0.701149043213501,1.7799472319443232,2.323941951774844,17.0,70.58823529411765,41.85962941868745,1.6659257215507979,75.0,20.556107249255213
same-close execution (lag 0),0.27644312416160716,0.2798476013366358,1.37695106493122,1.0,100.0,112.18552413589644,0.6874218006156846,12.5,2.8798411122144985
no gate,0.7398233851970097,2.8792366526654734,3.8307174798865473,18.0,66.66666666666666,64.84864694143215,1.4252741669801314,100.0,37.93445878848063
