,total_return_pct,cagr_pct,ann_vol_pct,sharpe,sortino,max_dd_pct,nw_tstat,exposure_pct,n_trades,win_rate_pct,avg_trade_bp,med_holding_bars,converged_pct,stopped_pct,skew,years,gate_pass_pct
CAD/WTI,10.880204783249848,0.293920156683658,1.3145647433350842,0.22979897493896057,0.35800832977023217,4.798336882221832,1.7240358367457376,2.672229112639531,19.0,68.42105263157895,54.9574629606874,10.0,63.1578947368421,0.0,2.4894675649846536,35.19047619047619,8.51063829787234
BTC/PAXG,-32.00818430715585,-4.660474471261644,7.4491005195614886,-0.6020493527668422,-0.6880829926202711,33.0201826902216,-1.636388482662293,3.631010794896958,3.0,0.0,-1092.712612133428,27.0,33.33333333333333,0.0,-8.210347346663283,8.083333333333334,6.0606060606060606
