,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),-0.4975361535845607,-1.2300388040974553,13.132220818940565,3.0,0.0,-388.9695567245414,-1.5658427996682938,5.263157894736842,3.1320541760722347
OLS + frozen z (GGR),-0.30441392279425644,-0.5333919822667732,7.989377227409822,3.0,33.33333333333333,-169.66920773242688,-1.1813164536639569,5.263157894736842,2.4266365688487586
Kalman hedge,-0.47055634234423366,-5.416642341305556,46.44291318873833,37.0,51.35135135135135,-125.02104173504951,-1.3780376988717595,47.368421052631575,13.036117381489841
same-close execution (lag 0),-0.3071269744596185,-0.786585273321061,9.424011702798863,3.0,0.0,-248.87727026736357,-1.0421912837974845,5.263157894736842,3.1884875846501126
no gate,-0.4823197916223636,-18.04086072050337,89.63046618344269,71.0,43.66197183098591,-195.84745310751475,-1.463880127438129,100.0,50.73363431151241
