,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),0.3914685740137431,2.0743637608410026,8.584330230163973,79.0,67.08860759493672,94.23043929142402,3.2561815906631697,30.49645390070922,9.236494868613962
OLS + frozen z (GGR),0.2677121960758454,1.2956390955314312,11.276358830132505,57.0,61.40350877192983,82.33462702990545,2.4070098886462548,30.49645390070922,6.789218450434194
Kalman hedge,0.29071677327513135,2.10668099854332,27.569816594229778,181.0,59.66850828729282,44.85096103974133,2.1060996620444965,63.829787234042556,18.13465659185745
same-close execution (lag 0),0.8116052687859171,4.839223046919683,7.453466375601103,80.0,88.75,213.96501352326794,5.37532761414764,30.49645390070922,9.428216984323898
no gate,0.4212454519859807,3.6594396544574748,29.56935558465583,252.0,61.904761904761905,52.94075709696976,3.565789659648973,100.0,33.61903687831285
