,total_return_pct,cagr_pct,ann_vol_pct,sharpe,sortino,max_dd_pct,nw_tstat,exposure_pct,n_trades,win_rate_pct,avg_trade_bp,med_holding_bars,converged_pct,stopped_pct,skew,years,gate_pass_pct
KO/PEP,1.1171933580164994,0.2786895172300019,1.020445702911188,0.2775493380248858,0.4379500041791488,1.364597704682713,0.6807886066479862,2.8798411122144985,1.0,100.0,111.71933580163945,29.0,100.0,0.0,1.9955503755013546,3.992063492063492,12.5
XOM/CVX,2.657925842134734,0.6592716464080439,1.5700943911304337,0.42591000779326116,0.8068759210499546,1.393655196098409,0.8909177363029648,1.8867924528301887,1.0,100.0,265.7925842134764,19.0,100.0,0.0,7.323824279183557,3.992063492063492,6.25
V/MA,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,,,,3.992063492063492,0.0
JPM/BAC,-4.88861795457759,-1.247680704507681,2.3686762233427325,-0.5176613922064874,-0.6594123651684934,5.307006053272856,-1.2229225943569357,10.923535253227408,3.0,33.33333333333333,-162.96718056210858,32.0,33.33333333333333,0.0,-1.8294091672898622,3.992063492063492,12.5
HD/LOW,-2.727525600816949,-0.6903339061929636,1.464849018072262,-0.4649630961100059,-0.4666389515147261,2.9658410574473937,-0.992100029395742,0.19860973187686196,1.0,0.0,-272.7525600816954,2.0,0.0,100.0,-31.31903610281939,3.992063492063492,6.25
GOOGL/GOOG,0.08477798445987172,0.029581938571410227,0.241164593120526,0.12367892057862391,0.19896686930007587,0.24296444700786513,0.38729861273614946,5.394190871369295,2.0,50.0,4.242755760821421,19.5,50.0,0.0,3.2225183101208184,2.865079365079365,8.333333333333332
