,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),0.42591000779326116,0.6592716464080439,1.393655196098409,1.0,100.0,265.7925842134764,0.8909177363029648,6.25,1.8867924528301887
OLS + frozen z (GGR),-0.12265678132093034,-0.26622852335539404,3.6042420120033225,1.0,0.0,-105.85756551413576,-0.2599734663148034,6.25,6.05759682224429
Kalman hedge,0.29258468289417244,0.6283401384941545,3.9699115895969084,9.0,55.55555555555556,28.38915937353156,0.6272645967139111,43.75,11.221449851042701
same-close execution (lag 0),0.3669819049523579,0.5785074292090187,1.4389570844547395,1.0,100.0,232.95026700142947,0.8077185461789607,6.25,1.8867924528301887
no gate,0.33172142264690974,1.5596541284184084,7.5680658047222575,20.0,60.0,32.6051576125524,0.7178653786852304,100.0,44.98510427010923
