,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),-0.5176613922064874,-1.247680704507681,5.307006053272856,3.0,33.33333333333333,-162.96718056210858,-1.2229225943569357,12.5,10.923535253227408
OLS + frozen z (GGR),-0.2505699692731541,-0.5125672910344159,5.151429541477038,3.0,33.33333333333333,-65.34612975025304,-0.5099301401382116,12.5,7.149950347567032
Kalman hedge,-0.1257807042656728,-0.45434364327816557,5.554677991290557,10.0,70.0,-17.092792042927602,-0.2939146514822081,50.0,16.28599801390268
same-close execution (lag 0),-0.567452551985312,-1.3677891369259454,5.404773784321049,3.0,33.33333333333333,-180.73846857775177,-1.33744440865149,12.5,11.122144985104269
no gate,0.48069684863559553,2.0598713186104955,5.425788786743146,23.0,82.6086956521739,36.68474219433749,0.9798542158250083,100.0,34.061569016881826
