y,x,corr,eg_pvalue,eg_tstat,beta,half_life,hurst,n_obs
BNB,ETH,0.6009417949324031,0.00016462514151352123,-5.000025086686658,1.4891231125321243,126.73667262354955,0.4793051097765834,3235
BNB,BTC,0.615519432801868,0.002878786981936453,-4.267201738164975,1.7220125004736149,155.06229231621643,0.5314044902384223,3235
BNB,ETC,0.5135013623726887,0.010064572703992716,-3.8954231031741933,1.474033575247755,199.35415051978384,0.4804020604009199,3235
ETC,ADA,0.6515529179797318,0.010552233986383663,-3.880469015537081,0.5589279609882006,80.59498410021288,0.48096884015714986,3096
XMR,BTC,0.5681907448811581,0.0208329258123364,-3.6563154602627357,0.8119378816216172,184.22868764064287,0.5062663036674488,3796
ETH,BTC,0.6553220766149741,0.025782085697947595,-3.5820556008227165,1.157122760144712,132.44499535359512,0.5532089858560186,3796
LTC,ADA,0.6659493405259964,0.04059315289328077,-3.4161028990391773,0.2904289621582824,101.08168945660273,0.4411080845789013,3096
ETC,DOT,0.6434670860125831,0.04546325069896662,-3.3727948979717493,0.44425917733468717,150.68440179481453,0.522972319477543,2103
LTC,ETC,0.6031375334341521,0.06448735153746084,-3.2335926535218316,0.8074820983467674,176.63188022328893,0.48628587344028507,3590
BNB,DOT,0.6129799592327457,0.06505265993756301,-3.2299987043087612,-0.08764795995741023,176.42036884481166,0.5940318153961535,2103
BTC,DOGE,0.5215386829801513,0.06909414794916158,-3.2050088269481187,0.6112131751882256,261.0039341755283,0.528207962447473,3796
XMR,LTC,0.5309561771615658,0.0795985594502065,-3.14510089768799,1.1819280289129201,146.05571977062496,0.5025450319100745,3796
BCH,ADA,0.6430591204240187,0.09686268849722296,-3.058885998289692,0.18287108028638255,167.9522350098551,0.4817703402187034,3096
XRP,BCH,0.5270033735376702,0.10983494514610398,-3.001560866439498,0.5197517991616369,266.46096594180426,0.4930119580127336,3218
LTC,BCH,0.6745869585154307,0.112154635725642,-2.9918534750951298,0.4535665023732858,129.81290247719824,0.46118321889553665,3218
XMR,ETH,0.5320925182462234,0.11947505982395284,-2.9621648405844483,0.6961893283433858,217.63319695336452,0.5116486750246255,3796
