,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),-0.4975361535845607,-1.2300388040974553,13.132220818940565,3.0,0.0,-388.9695567245414,-1.5658427996682938,5.263157894736842,3.1320541760722347
OLS + frozen z (GGR),-0.30441392279425644,-0.5333919822667732,7.989377227409822,3.0,33.33333333333333,-169.66920773242688,-1.1813164536639569,5.263157894736842,2.4266365688487586
Kalman hedge,-0.5206425320604744,-6.44783549733704,52.0584283188174,40.0,47.5,-134.98163246704993,-1.5088628949728742,50.877192982456144,14.475169300225735
same-close execution (lag 0),-0.3169778094646012,-0.8111420450890638,9.641394074712128,4.0,0.0,-192.65795270052269,-1.0786021133936532,5.263157894736842,3.1884875846501126
no gate,-0.44801089689239115,-17.094963036330757,88.40866142416796,71.0,43.66197183098591,-181.012860525863,-1.3625687616661446,100.0,50.70541760722348
