,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),-0.13244823005013567,-0.13217873207476138,7.184312863948195,5.0,20.0,-69.22062839600703,-0.7231736028367475,3.7735849056603774,2.11141060197664
OLS + frozen z (GGR),-0.15238259729698186,-0.08089443948735564,3.644691971079206,8.0,37.5,-26.542028895809953,-0.9833553317508994,3.7735849056603774,1.1829889188379754
Kalman hedge,-0.05582745484741674,-0.06755626197916254,5.763804715941589,25.0,52.0,-6.778896787379499,-0.3161697986903274,17.92452830188679,7.142857142857142
same-close execution (lag 0),-0.05068076748647399,-0.052931780982046206,5.461207019007275,5.0,60.0,-27.348191990548422,-0.26423536634254785,3.7735849056603774,2.1413596885294996
no gate,-0.20030688806511404,-0.6448012234624545,17.85835576986935,127.0,51.96850393700787,-12.797397245432043,-1.1108333594632886,100.0,49.14645103324349
