,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),-0.4649630961100059,-0.6903339061929636,2.9658410574473937,1.0,0.0,-272.7525600816954,-0.992100029395742,6.25,0.19860973187686196
OLS + frozen z (GGR),-0.47130041810972356,-0.29248423161822856,1.162516453072171,1.0,0.0,-116.25164530721673,-1.2595777185319519,6.25,0.893743793445879
Kalman hedge,0.007094678695435818,-0.06445233870896461,7.68218252713051,14.0,50.0,-0.4771041940259652,0.016599383731462518,62.5,21.44985104270109
same-close execution (lag 0),-0.609794229570119,-0.9412209804476657,3.7048357996555814,1.0,0.0,-370.48357996555853,-1.0296144786543817,6.25,0.19860973187686196
no gate,-0.2530521171299197,-1.4746406611613083,11.781211892461362,21.0,57.14285714285714,-27.239865909767115,-0.627939650387068,100.0,54.71698113207547
