,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),-0.6020493527668422,-4.660474471261644,33.0201826902216,3.0,0.0,-1092.712612133428,-1.636388482662293,6.0606060606060606,3.631010794896958
OLS + frozen z (GGR),-0.4676701185046119,-1.1987021139968745,9.371333082048672,4.0,25.0,-234.09389830901642,-1.303462040499358,6.0606060606060606,2.060843964671246
Kalman hedge,-0.3554116574204391,-3.344387124227588,27.72755971806339,27.0,44.44444444444444,-92.8093005248427,-1.1696726634471026,72.72727272727273,18.351324828263003
same-close execution (lag 0),-0.6245833683161789,-4.8018207063799885,32.818732604304365,3.0,0.0,-1137.836586315081,-1.6806213909873287,6.0606060606060606,3.729146221786065
no gate,-0.9229093830463351,-13.038625740536691,67.67377280932827,24.0,50.0,-405.35101529432904,-2.645989200501632,100.0,35.8684985279686
