,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),-0.3913626273779445,-12.730565668017979,82.11894717789782,3.0,0.0,-3136.267426462849,-1.361626189436537,7.017543859649122,1.8905191873589164
OLS + frozen z (GGR),0.22617612955392377,2.536263377972081,47.27810162714919,5.0,40.0,814.8439412324791,0.7035257537160167,7.017543859649122,3.2731376975169297
Kalman hedge,0.4430372017833479,6.357174965200096,36.675997440641105,56.0,71.42857142857143,127.0837508801523,1.4334281536397395,59.64912280701754,16.95823927765237
same-close execution (lag 0),-0.3005950921479978,-13.179554083433953,84.82312354176725,3.0,0.0,-3009.273374576305,-1.154090352598045,7.017543859649122,1.9469525959367944
no gate,-0.13054498843730833,-11.441724953833265,85.81433952013874,66.0,53.03030303030303,-71.61063022287604,-0.4271512434401946,100.0,42.183972911963885
