,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),0.13238346882068605,0.06994549702461494,2.2418996560422344,11.0,63.63636363636363,17.109437364594942,0.7149660253560808,8.49056603773585,4.1179994010182694
OLS + frozen z (GGR),-0.012043310760406893,-0.008536546603876705,3.417515526684778,9.0,55.55555555555556,-2.050689323435018,-0.05903315814650225,8.49056603773585,3.9982030548068286
Kalman hedge,0.05028628033914607,0.041601134231528114,5.316780646095031,17.0,64.70588235294117,6.879443103523555,0.27275801889840195,15.09433962264151,5.450733752620545
same-close execution (lag 0),0.08679850297467241,0.04585713472193831,2.58133762385675,11.0,45.45454545454545,11.300820311135164,0.4888555794119301,8.49056603773585,4.1928721174004195
no gate,0.02686213426193959,0.035992143080787464,17.53967013355655,124.0,59.67741935483871,1.5518956151361238,0.13760639551137388,100.0,41.98861934710991
