per_side_bp,BTC/ETH,LTC/ETH
0.0,-0.4697106023011145,-0.3862928658236456
6.0,-0.48375716946559333,-0.3888313211483213
12.0,-0.4975361535845607,-0.3913626273779445
24.0,-0.5242493044438467,-0.3964031396820386
48.0,-0.5740663864622559,-0.40639121805589323
