,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),0.22979897493896057,0.293920156683658,4.798336882221832,19.0,68.42105263157895,54.9574629606874,1.7240358367457376,8.51063829787234,2.672229112639531
OLS + frozen z (GGR),0.1998947042390526,0.3029733348417274,4.837372062519208,9.0,77.77777777777779,119.75856585079922,1.5903962961893907,8.51063829787234,3.5291464652159203
Kalman hedge,0.11963422520072509,0.05527674873184729,1.3003562971939941,3.0,66.66666666666666,65.30362319557919,0.9270214946013855,2.127659574468085,0.3946329913180742
same-close execution (lag 0),0.3601446000716032,0.46511768891186467,3.332067844679387,20.0,70.0,82.56798498631738,2.3549796203052593,8.51063829787234,2.7624309392265194
no gate,0.055565097963749914,0.14300665702733362,21.686533035893962,124.0,55.64516129032258,5.997504001612235,0.37511819802111807,100.0,28.368474461607846
