,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),0.464949554679028,4.380523462555308,25.258573755556625,21.0,80.95238095238095,630.0390756365263,2.5242552366877975,14.912280701754385,4.901550062840386
OLS + frozen z (GGR),-0.0065048309763816765,,188.07508552913802,13.0,76.92307692307693,67.85446694120793,-0.03228087172671727,14.912280701754385,3.3794162826420893
Kalman hedge,,0.0,0.0,0.0,,,,0.0,0.0
same-close execution (lag 0),-0.1114799352293511,,162.56539291795568,21.0,66.66666666666666,-603.1016806754667,-0.603018396854077,14.912280701754385,4.9574081832146355
no gate,0.19938648655769,,120.47093293108047,106.0,58.490566037735846,274.57045939129785,1.2389675205381459,100.0,31.615696131825167
