y,x,corr,eg_pvalue,eg_tstat,beta,half_life,hurst,n_obs
WTI,BRENT,0.6285741343502376,1.0018833962718036e-05,-5.6244219018329815,0.9056626568921035,8.87838711639611,0.20758594515257073,9119
AUD,CAD,0.5864074994109744,0.04032066685063762,-3.4186517221976964,1.1289971158445111,186.1348721145028,0.4496532255233316,9195
ETH,BTC,0.6152574312414971,0.06429799798954298,-3.2348021257879567,1.249033411711926,256.57803594064336,0.567484742673881,3942
AUD,NOK,0.5181733990905035,0.4240278283389069,-2.200651001933295,0.5623314779222051,505.58930168472756,0.4631364429263112,9195
CAD,NOK,0.4631296869565669,0.47206186514458387,-2.10823756815082,0.45272993646871335,617.7030200300669,0.4461793147002312,9195
