,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),,0.0,0.0,0.0,,,,0.0,0.0
OLS + frozen z (GGR),,0.0,0.0,0.0,,,,0.0,0.0
Kalman hedge,-0.40774891147404063,-1.3004314705796993,5.799698793149865,10.0,60.0,-50.91162245325345,-0.8867349685975651,50.0,14.498510427010924
same-close execution (lag 0),,0.0,0.0,0.0,,,,0.0,0.0
no gate,0.0874938499740087,0.2915817970650991,6.25241497407295,25.0,60.0,5.183113991505671,0.21808140335249507,100.0,56.007944389275075
