,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),-0.1674698858814907,-0.06945290808285653,2.1018803697583133,7.0,28.57142857142857,-26.106857078090133,-0.9005684932947575,4.716981132075472,1.916741539383049
OLS + frozen z (GGR),0.09141727633985187,0.035687083654489804,1.5859847976048669,4.0,75.0,24.122114394619643,0.46930855427175605,4.716981132075472,1.482479784366577
Kalman hedge,-0.0664584580662317,-0.08517810650988666,6.7853101717270325,7.0,57.14285714285714,-30.979886745532546,-0.4220954381694719,4.716981132075472,2.4558250973345315
same-close execution (lag 0),-0.21111756049268404,-0.08851075674535247,2.5052615439121184,7.0,28.57142857142857,-33.35563414210946,-1.1716726333133798,4.716981132075472,1.9766397124887691
no gate,-0.30847488177007476,-0.958266104265626,25.441092316725346,115.0,53.04347826086957,-21.3344929597718,-1.7839824302155294,100.0,42.722371967654986
