,sharpe,cagr_pct,max_dd_pct,n_trades,win_rate_pct,avg_trade_bp,nw_tstat,gate_pass_pct,exposure_pct
OLS + rolling z (default),0.3902686707880355,2.0688545919277823,8.584330230163983,82.0,65.85365853658537,90.55763940335198,3.263358560783025,30.49645390070922,9.292883726175708
OLS + frozen z (GGR),0.24895400913493096,1.225137420709621,15.086645893902661,60.0,60.0,74.32854625196249,2.2204310161257257,30.49645390070922,6.868162851020639
Kalman hedge,,0.0,0.0,0.0,,,,0.0,0.0
same-close execution (lag 0),0.8106832269201507,4.811559862962689,7.879550245922484,83.0,86.74698795180723,205.0707587040343,5.369610007796587,30.49645390070922,9.495883613397993
no gate,0.40468804066138825,3.524232943835548,29.639786229071042,258.0,60.85271317829457,50.397824332847925,3.373514758945487,100.0,33.73181459343634
